,model,nrGPUshf,throughputhf,throughputvllmi,throughputXi,nrGPUsvllm,throughputvllm,throughputX
0,Bloom-1b7,1,30.1,101.5,3.4X,1,101.5,3.4X
1,Bloom-3b,1,21.7,67.6,3.1X,1,67.6,3.1X
2,Bloom-7b1,1,13.3,34.4,2.6X,4,46.8,3.5X
3,Codellama-13b-hf,4,7.1,26,3.7X,4,26,3.7X
4,Codellama-34b-hf,8,2.9,18.5,6.4X,8,18.5,6.4X
5,Codellama-70b-hf,8,0.2,11.4,57.0X,8,11.4,57.0X
6,Codellama-7b-hf,1,12.3,31.2,2.5X,2,31.7,2.6X
7,Codestral-22b,4,3.9,26.2,6.7X,8,29.4,7.5X
8,Gemma-2b,1,22,82.3,3.7X,1,82.3,3.7X
9,Gemma-7b,2,3.1,36.8,11.9X,4,48.4,15.6X
10,Mistral-7b,1,11.5,30,2.6X,4,42.9,3.7X
11,Mixtral-8x7b,8,3.6,37,10.3X,8,37,10.3X
12,Phi-1_5,4,29.1,51.4,1.8X,1,120.7,4.1X
13,Phi-2,4,17.1,46.7,2.7X,1,110.9,6.5X
14,Starcoder-15b,2,12.2,22.3,1.8X,1,70.3,5.8X
15,Starcoder2-3b,1,29,57.1,2.0X,8,36.5,1.3X
16,Starcoder2-7b,1,12.4,31.4,2.5X,1,57.1,4.6X
17,Wizardcoder-15b,2,5.9,22.2,3.8X,4,42.2,7.2X
18,Wizardcoder-33b,8,0.3,26.4,88.0X,8,36.8,122.7X
