,model,nrGPUs,throughput,nrGPUs-2,Per-GPU
0,Bloom-1b7,1,30.1,1,61
1,Bloom-3b,1,21.7,1,75.7
2,Bloom-7b1,1,13.3,1,91
3,Codellama-13b-hf,4,7.1,1,85.5
4,Codellama-34b-hf,8,2.9,1,83
5,Codellama-70b-hf,8,0.2,4,19.4
6,Codellama-7b-hf,1,12.3,1,85
7,Codestral-22b,4,3.9,1,85.4
8,Gemma-2b,1,22,1,69.3
9,Gemma-7b,2,3.1,1,82.6
10,Mistral-7b,1,11.5,1,85
11,Mixtral-8x7b,8,3.6,1,73.4
12,Phi-1_5,4,29.1,1,52.7
13,Phi-2,4,17.1,2,28.8
14,Starcoder-15b,2,12.2,1,82.6
15,Starcoder2-3b,1,29,1,46.2
16,Starcoder2-7b,1,12.4,1,90.8
17,Wizardcoder-15b,2,5.9,1,86.8
18,Wizardcoder-33b,8,0.3,1,80.4
