model,1,2,4,8,16,32,64,128,256,512,1028
Bloom-1b7,51.7,100.2,181.5,258.6,336.3,392.4,417.1,431.9,435.2,437.5,440.3
Bloom-3b,48.5,93.1,157,206.3,248.2,275.9,291.1,300.1,302.1,307.6,301.3
Bloom-7b1,44.3,75.1,108.7,134.4,155,167.8,172.4,177.9,178.2,180.4,179.6
Codellama-13b-hf,23.1,37.2,53.5,72,82.3,87,88.1,88.6,89.8,88.9,89.2
Codellama-7b-hf,31.7,55.2,84.7,113.2,138.3,151.6,154.2,155.5,158.8,157.8,156.8
Gemma-2b,54.8,105,177.7,239.3,298.7,332.6,348.6,357.8,360.6,361.9,359.5
Gemma-7b,36.8,60.5,87.2,107.3,122.5,131.1,135.8,137.5,140.5,139.3,140
Mistral-7b,36.1,62.6,90,107.8,123,130.6,133.7,135.9,137.2,137.2,138.3
Phi-1,53.5,105.1,184.4,252.1,321.3,368,388.1,404,404.8,400.7,409.7
Phi-1_5,53.8,104.5,184,251.8,319.2,367.4,398.7,399.4,408.9,410.2,402.6
Phi-2,49.1,92.9,148.2,188.8,226.1,243.9,255.4,260.3,261.9,262.5,260.9
Starcoder-15b,22.3,35.7,50.1,60.1,68.1,72.7,74.7,75.8,76.8,76.6,76.4
Starcoder2-3b,45,81.3,134.2,166.5,191.6,207.7,215.9,219.1,224,221.5,223.7
Starcoder2-7b,37.3,61.8,87.4,105,119.4,127.5,130.5,133.2,133.8,133.5,134.1
Wizardcoder-15b,22.2,35.4,49.4,59.1,66.8,70.9,73.1,74.1,75,75.1,74.8
