,model,engine,significant,cliff_delta,medianImpr,meanImpr
19,all,autohf,True,0.1,23.3%,47.0%
5,Bloom-1b7,autohf,True,0.4,21.5%,19.0%
6,Bloom-3b,autohf,True,0.5,25.3%,23.6%
7,Bloom-7b1,autohf,True,0.5,15.4%,14.3%
8,Codellama-13b-hf,autohf,True,0.5,18.3%,28.7%
9,Codellama-34b-hf,autohf,True,0.3,19.6%,62.0%
10,Codellama-70b-hf,autohf,True,0.5,153.0%,276.0%
11,Codellama-7b-hf,autohf,True,0.6,15.2%,14.3%
16,Codestral-22b,autohf,True,0.4,32.5%,49.4%
12,Gemma-2b,autohf,False,-0.2,-16.3%,1.9%
13,Gemma-7b,autohf,False,-0.2,-43.3%,4.6%
17,Mistral-7b,autohf,True,0.6,15.3%,15.9%
18,Mixtral-8x7b,autohf,True,0.1,7.5%,36.8%
14,Phi-1_5,autohf,True,0.5,25.9%,25.1%
15,Phi-2,autohf,True,0.3,24.1%,21.8%
2,Starcoder-15b,autohf,True,0.9,126.8%,180.8%
3,Starcoder2-3b,autohf,True,0.4,69.4%,70.0%
4,Starcoder2-7b,autohf,True,0.6,20.4%,21.9%
0,Wizardcoder-15b,autohf,True,0.6,30.8%,32.6%
1,Wizardcoder-33b,autohf,False,0.5,535.6%,535.6%
